,A,2,3,4,5,6,7,8,9,10
12,1,1,1,1,4,4,1,1,1,1
13,1,1,1,1,4,4,1,1,1,1
14,1,1,1,1,4,4,1,1,1,1
15,1,1,1,4,4,4,1,1,1,1
16,1,1,1,4,4,4,1,1,1,1
17,1,1,4,4,4,4,1,1,1,1
18,1,0,2,2,2,2,0,0,1,1
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
